Column Name,RW Map Rule,CTR Map Rule,RW Alias
Name,,ctr_to_var_name,
Buy,,change_flag,
Average Frequency,,average_frequency,
Special IndexFreqUnit,,special_frequency,
Special PayFreqUnit,,special_frequency,
Cap Frequency,,cap_frequency,
ID,,ctr_id_changer,
Daycount Basis,,ctr_daycount_changer,
Index DayCount,,ctr_daycount_changer,
Index Freq,,cap_frequency,
Maturity Date,,change_datetype,
Issue Date,,change_datetype,
Credit Rating,,numstr,
Pay Lag Convention,,paylagconvention,
1st Payment Date,,change_datetype,
1st Roll Date,,change_datetype,
Payment Holiday,,holiday_org,
Reset Holiday,,holiday_org,
Booking Point,,numnum,
Mode,,mode_change,
